"tag_id","tagging_date","fork_length_cm","status","days_at_liberty","n_detections","mean_detections_per_day","unique_days","distance_tracked","mean_distance_per_day","n_stations","movements_detected","meacount_movements_per_day","total_brfa_crossings","in_to_out","out_to_in","days_tracked_in","days_tracked_out","mean_brfa_movements_per_day","max_polygon_area","max_linear_distance","z_constrained_path_distance","data_density"
"28185",2018-01-11 13:14:00,34,"Unknown",94,347,3.69148936170213,74,13.05,0.138829787234043,3,14,0.148936170212766,0,0,0,0,93.43,0,0.0322022098712921,1.98558307483162,4.865,0.787234042553192
"29",2017-01-13 14:46:00,76,"Dead",446,8452,18.9506726457399,260,0.39,0.000874439461883408,1,1,0.00224215246636771,0,0,0,445.24,0,0,NA,0.386207496866852,0,0.582959641255605
"3",2017-01-13 10:38:00,58,"Dead",390,257,0.658974358974359,37,0.73,0.00187179487179487,1,1,0.00256410256410256,0,0,0,389.08,0,0,NA,0.732229080748944,0,0.0948717948717949
"30",2017-01-13 14:03:00,61,"Dead",457,18722,40.9671772428884,283,0.27,0.000590809628008753,1,1,0.00218818380743982,0,0,0,456.28,0,0,NA,0.267050283350535,0,0.61925601750547
"30679",2017-08-28 11:36:00,38,"Dead",230,17839,77.5608695652174,199,119.15,0.51804347826087,9,63,0.273913043478261,0,0,0,229.42,0,0,6.93976059732437,7.6335931547624,8.371,0.865217391304348
"30680",2017-08-28 11:39:00,36,"Dead",230,6217,27.0304347826087,197,283.13,1.231,8,248,1.07826086956522,7,4,3,2.03,227.45,0.0304347826086957,4.73123133841085,5.37906824001177,6.132,0.856521739130435
"30681",2017-08-28 11:55:00,38,"Dead",230,3919,17.0391304347826,199,225.99,0.982565217391304,12,196,0.852173913043478,5,3,2,2.96,226.54,0.0217391304347826,10.3825441392822,6.3415984702551,9.375,0.865217391304348
"30682",2017-08-28 13:00:00,44.5,"Dead",230,5460,23.7391304347826,224,227.21,0.987869565217391,8,207,0.9,10,5,5,3.07,226.38,0.0434782608695652,3.97896403864384,4.21048196371048,7.19,0.973913043478261
"30683",2017-08-28 13:04:00,41.5,"Unknown",230,14969,65.0826086956522,230,4127.55,17.9458695652174,2,4099,17.8217391304348,0,0,0,0,229.44,0,0,1.00709456591596,1.622,1
"30684",2017-08-28 13:28:00,43,"Alive",230,57365,249.413043478261,230,25164.09,109.409086956522,6,24970,108.565217391304,14,7,7,0.5,228.94,0.0608695652173913,2.07790561340976,3.81197394930906,3.664,1
"30685",2017-08-28 13:44:00,41,"Alive",230,56541,245.830434782609,225,108.94,0.473652173913043,7,67,0.291304347826087,13,6,7,214.64,14.79,0.0565217391304348,3.07107336407185,4.70329455335402,8.531,0.978260869565217
"30686",2017-08-28 15:11:00,43,"Excluded From Analysis",7,332,47.4285714285714,7,117.69,16.8128571428571,8,91,13,10,5,5,5.31,0.21,1.42857142857143,2.09645313280678,4.70329455335402,8.531,1
"30687",2017-08-28 16:48:00,40.5,"Dead",230,1734,7.53913043478261,166,81.11,0.352652173913043,12,51,0.221739130434783,5,3,2,2.75,226.39,0.0217391304347826,6.46096028419018,6.3415984702551,9.375,0.721739130434783
"30689",2017-08-28 17:38:00,45.5,"Excluded From Analysis",3,169,56.3333333333333,3,41.47,13.8233333333333,8,32,10.6666666666667,6,3,3,0.38,1.31,2,1.69866505459785,5.48586371232559,6.907,1
"30690",2017-08-28 17:16:00,42,"Dead",229,10253,44.7729257641921,222,106.64,0.465676855895197,5,76,0.331877729257642,0,0,0,228.24,0,0,3.45814807558441,4.83589640157223,6.018,0.96943231441048
"30694",2017-08-28 20:58:00,36,"Dead",229,12197,53.2620087336245,212,91.59,0.399956331877729,5,62,0.270742358078603,2,1,1,227.51,0.04,0.00873362445414847,0.869742654475689,5.74054787183705,6.132,0.925764192139738
"30695",2017-08-28 21:10:00,36.5,"Alive",220,1578,7.17272727272727,127,46.9,0.213181818181818,10,28,0.127272727272727,2,1,1,217.95,0.32,0.00909090909090909,1.98614761939096,6.84763549102062,9.375,0.577272727272727
"30697",2017-08-28 21:23:00,34,"Excluded From Analysis",10,3,0.3,3,1.12,0.112,1,1,0.1,0,0,0,8.37,0,0,NA,1.11770589169932,2.354,0.3
"30700",2017-08-28 21:43:00,37,"Excluded From Analysis",2,7,3.5,2,3.46,1.73,2,2,1,1,1,0,0.09,0,0.5,0.0562890939722061,3.4570390629127,3.778,1
"30701",2017-08-28 22:17:00,36.5,"Dead",99,143,1.44444444444444,23,58.46,0.590505050505051,4,40,0.404040404040404,0,0,0,97.31,0,0,7.06571800261402,2.55602426402369,5.766,0.232323232323232
"30702",2017-08-28 22:33:00,37,"Excluded From Analysis",2,6,3,2,3.46,1.73,2,2,1,0,0,0,0,0.09,0,0.0562890939722061,3.4570390629127,3.778,1
"30703",2017-08-28 22:39:00,54,"Unknown",205,550,2.68292682926829,79,62.28,0.30380487804878,2,60,0.292682926829268,0,0,0,203.94,0,0,0.524314145574808,1.15779109474918,2.354,0.385365853658537
"30704",2017-08-29 07:35:00,42,"Dead",229,77239,337.288209606987,228,487.56,2.12908296943231,7,480,2.09606986899563,1,1,0,1.8,226.89,0.00436681222707424,0.355383511095047,5.34244672368374,8.12,0.995633187772926
"30705",2017-08-29 08:02:00,40.5,"Alive",229,4727,20.6419213973799,217,1584.08,6.91737991266375,7,1201,5.24454148471616,12,6,6,227.25,1.39,0.0524017467248908,10.4437869766707,4.70329455335402,8.12,0.947598253275109
"30706",2017-08-29 10:12:00,43.5,"Excluded From Analysis",2,163,81.5,2,41.46,20.73,9,31,15.5,2,1,1,1.38,0.05,1,3.40698360193872,4.72948865340373,7.95,1
"30707",2017-08-29 12:46:00,53,"Unknown",229,20234,88.3580786026201,215,0.22,0.000960698689956332,1,1,0.00436681222707424,0,0,0,228.46,0,0,NA,0.217657994415954,0,0.938864628820961
"30708",2017-08-29 13:07:00,39,"Dead",229,8955,39.1048034934498,205,1864.99,8.14406113537118,19,2074,9.05676855895197,1,1,0,3.35,225.1,0.00436681222707424,7.67278934210396,9.34617256164124,11.727,0.895196506550218
"30709",2017-08-28 10:52:00,43.5,"Dead",54,199,3.68518518518519,5,76.92,1.42444444444444,14,49,0.907407407407407,2,1,1,52.8,0.38,0.037037037037037,10.7126009976768,8.7755683708177,10.149,0.0925925925925926
"30714",2017-06-24 20:47:00,47,"Unknown",289,1870,6.47058823529412,102,0.4,0.0013840830449827,1,1,0.00346020761245675,0,0,0,287.82,0,0,NA,0.396571338425529,0,0.352941176470588
"30715",2017-06-24 21:01:00,38,"Unknown",295,20694,70.1491525423729,291,0.4,0.00135593220338983,1,1,0.00338983050847458,0,0,0,293.99,0,0,NA,0.396571338425529,0,0.986440677966102
"30716",2017-06-24 21:14:00,45,"Dead",265,255,0.962264150943396,45,29.27,0.110452830188679,7,17,0.0641509433962264,0,0,0,263.19,0,0,1.38160684781456,5.85257229098339,8.485,0.169811320754717
"30717",2017-06-24 21:19:00,36.5,"Unknown",73,353,4.83561643835616,9,0.4,0.00547945205479452,1,1,0.0136986301369863,0,0,0,71.33,0,0,NA,0.396571338425529,0,0.123287671232877
"30718",2017-06-24 21:28:00,37,"Dead",295,21868,74.128813559322,210,80.8,0.273898305084746,9,39,0.132203389830508,0,0,0,293.73,0,0,3.87339053272057,6.85361943259748,7.061,0.711864406779661
"30719",2017-06-24 21:45:00,40.5,"Dead",156,442,2.83333333333333,16,111.72,0.716153846153846,14,68,0.435897435897436,2,1,1,154.24,0.16,0.0128205128205128,1.12598583846962,8.56534885207602,11.614,0.102564102564103
"30720",2017-06-24 21:55:00,43,"Excluded From Analysis",7,434,62,6,74.5,10.6428571428571,5,46,6.57142857142857,0,0,0,5.85,0,0,1.8477717695787,4.83589640157223,6.018,0.857142857142857
"30721",2017-06-24 22:08:00,45,"Alive",295,30695,104.050847457627,295,301.19,1.02098305084746,2,131,0.444067796610169,0,0,0,294.08,0,0,0,2.31416914714053,3.242,1
"30722",2017-06-24 22:33:00,45,"Unknown",295,44042,149.294915254237,279,0.72,0.00244067796610169,1,2,0.00677966101694915,0,0,0,293.84,0,0,NA,0.359748675762306,0,0.945762711864407
"30723",2017-06-24 23:31:00,34,"Dead",282,444,1.57446808510638,46,47.95,0.170035460992908,9,34,0.120567375886525,3,2,1,0.58,280.03,0.0106382978723404,17.4512059434566,7.52088037804619,8.371,0.163120567375887
"30724",2017-06-25 17:36:00,35,"Dead",294,80271,273.030612244898,294,3127.31,10.6371088435374,9,2240,7.61904761904762,0,0,0,293.26,0,0,7.14749856033325,13.1020811565704,13.342,1
"30725",2017-06-25 18:50:00,58,"Excluded From Analysis",78,1,0.0128205128205128,1,0.72,0.00923076923076923,1,1,0.0128205128205128,0,0,0,76.79,0,0,NA,0.719867479012274,1.621,0.0128205128205128
"30726",2017-06-25 19:01:00,35,"Excluded From Analysis",2,88,44,2,44.46,22.23,11,28,14,2,1,1,1.01,0.08,1,1.10545091653252,6.3415984702551,9.26,1
"30729",2017-06-25 19:24:00,49.5,"Alive",187,1191,6.36898395721925,61,241.55,1.29171122994652,12,160,0.855614973262032,0,0,0,185.66,0,0,10.0047443231635,6.92690173330556,8.527,0.32620320855615
"30730",2017-06-25 19:34:00,37,"Excluded From Analysis",4,179,44.75,4,84,21,20,38,9.5,5,3,2,2.29,0.25,1.25,42.4745190625725,23.8424884810511,24.028,1
"30731",2017-06-25 19:42:00,45,"Excluded From Analysis",8,62,7.75,8,0.71,0.08875,1,1,0.125,0,0,0,6.19,0,0,NA,0.708785193996874,1.621,1
"30732",2017-06-25 22:04:00,48,"Dead",277,846,3.05415162454874,73,65.88,0.237833935018051,6,37,0.133574007220217,2,1,1,275.07,0.03,0.0072202166064982,0.56387753208065,8.24483222754526,8.485,0.263537906137184
"30733",2017-06-25 22:14:00,36,"Dead",24,337,14.0416666666667,8,75.48,3.145,8,44,1.83333333333333,0,0,0,22.63,0,0,4.67525168401337,4.12687147531993,4.707,0.333333333333333
"30734",2017-06-25 22:36:00,55.5,"Unknown",224,66,0.294642857142857,25,0.67,0.00299107142857143,1,1,0.00446428571428571,0,0,0,222.69,0,0,NA,0.666016905776723,1.621,0.111607142857143
"30735",2017-06-25 22:43:00,36,"Excluded From Analysis",4,135,33.75,4,76.28,19.07,18,30,7.5,5,3,2,2.16,0.24,1.25,41.2145293235702,23.8424884810511,24.028,1
"30736",2017-06-25 22:54:00,36,"Dead",284,3581,12.6091549295775,216,120.45,0.424119718309859,14,56,0.197183098591549,0,0,0,282.11,0,0,10.989068595351,13.957903863052,16.32,0.76056338028169
"30737",2017-06-26 00:01:00,34,"Dead",15,105,7,6,25.63,1.70866666666667,5,13,0.866666666666667,0,0,0,14.4,0,0,1.60042143513489,4.83589640157223,6.484,0.4
"30738",2017-06-26 00:14:00,37,"Excluded From Analysis",7,305,43.5714285714286,7,91.78,13.1114285714286,14,60,8.57142857142857,2,1,1,6.74,0.15,0.285714285714286,1.34646564172292,9.34617256164124,11.614,1
"30739",2017-06-26 00:42:00,40,"Unknown",121,77,0.636363636363636,24,0.82,0.00677685950413223,1,1,0.00826446280991736,0,0,0,120.84,0,0,NA,0.816011932359172,1.621,0.198347107438017
"30741",2017-06-26 01:23:00,53.5,"Dead",236,488,2.06779661016949,42,49.2,0.208474576271186,5,26,0.110169491525424,0,0,0,235.9,0,0,2.86645536128032,3.84166016638091,4.707,0.177966101694915
"30742",2017-06-26 01:48:00,47,"Unknown",146,198,1.35616438356164,24,0.73,0.005,1,1,0.00684931506849315,0,0,0,145.54,0,0,NA,0.730283756417738,1.621,0.164383561643836
"30743",2017-08-28 08:14:00,43,"Unknown",230,20883,90.795652173913,220,0.28,0.00121739130434783,1,1,0.00434782608695652,0,0,0,229.57,0,0,NA,0.280076487595558,1.621,0.956521739130435
"30744",2017-08-28 08:34:00,40.5,"Dead",230,101795,442.586956521739,230,93.91,0.408304347826087,8,65,0.282608695652174,19,10,9,2.73,226.91,0.0826086956521739,3.60580556514072,4.21048196371048,7.19,1
"30746",2017-08-28 09:07:00,36,"Excluded From Analysis",2,43,21.5,2,0.54,0.27,1,1,0.5,0,0,0,0.75,0,0,NA,0.541220926052992,1.621,1
"30747",2017-08-28 09:29:00,44,"Unknown",176,22474,127.693181818182,172,312.93,1.77801136363636,3,311,1.76704545454545,0,0,0,175.26,0,0,0.503079439120531,1.971582172951,3.243,0.977272727272727
"30749",2018-01-11 17:59:00,61,"Unknown",64,98,1.53125,31,0.96,0.015,1,1,0.015625,0,0,0,63.06,0,0,NA,0.957125795930976,2.354,0.484375
